"gen" "purg" "pre" "ss" "negpysum" "QF"
1 1 3 3.33 3 2
1 1 3.09 1.33 1 12
1 1 3.09 4.08 8 26
1 1 3.36 3.17 5 40
1 1 3.36 4.42 8 26
1 1 3.45 2.58 0 NA
1 1 3.45 3.42 0 0
1 1 3.55 3.17 NA 0
1 1 3.64 1.5 0 0
1 1 3.64 1.83 1 26
1 1 3.64 3.27 2 45
1 1 3.73 2.67 2 26
1 1 3.73 3.83 0 4
1 1 3.82 2.92 3 26
1 1 3.82 3.92 0 5
1 1 3.91 1.58 NA 0
1 1 4.09 4.75 5 14
1 1 4.27 5 0 0
1 1 4.36 2.5 0 22
1 1 4.64 2.25 17 NA
1 1 4.64 3.83 7 30
1 1 4.82 4.17 5 38
1 1 4.91 2.33 13 58
1 1.07 2.18 3.33 0 0
1 1.07 2.45 5 7 58
1 1.07 2.82 4 7 27
1 1.07 3 2.83 2 14
1 1.07 3 4.5 8 19
1 1.07 3.09 3.33 0 0
1 1.07 3.09 4.17 0 0
1 1.07 3.36 3.83 10 19
1 1.07 3.64 2.42 16 NA
1 1.07 3.73 2.75 0 0
1 1.07 3.73 2.92 5 45
1 1.07 3.82 4 8 22
1 1.07 3.91 3.83 6 46
1 1.07 4 1.92 0 0
1 1.07 4 3.5 1 13
1 1.07 4.09 3.42 1 14
1 1.07 4.09 4.92 5 28
1 1.07 4.18 3.25 0 0
1 1.07 4.18 3.42 0 0
1 1.07 4.36 2.83 0 0
1 1.07 4.36 3.83 7 48
1 1.07 4.64 4.17 1 7
1 1.07 4.91 3.25 15 NA
1 1.08 4.09 3 6 38
1 1.14 2.45 5 15 45
1 1.14 2.82 4.33 6 19
1 1.14 2.91 4.75 11 24
1 1.14 3 4.08 10 26
1 1.14 3.09 4.67 19 NA
1 1.14 3.36 4.5 10 66
1 1.14 3.36 4.58 5 NA
1 1.14 3.45 3.5 4 47
1 1.14 3.45 3.92 4 8
1 1.14 3.73 3.08 1 NA
1 1.14 3.73 3.17 0 0
1 1.14 3.73 3.67 10 27
1 1.14 3.82 3.17 0 0
1 1.14 3.91 4.36 12 NA
1 1.14 4 3.67 1 12
1 1.14 4.18 2.92 0 0
1 1.14 4.36 4.5 10 NA
1 1.14 4.45 3.83 10 42
1 1.14 4.64 3.17 0 0
1 1.21 1.27 4.5 12 NA
1 1.21 2.09 3.25 0 0
1 1.21 2.64 2.58 2 4
1 1.21 2.73 3.67 0 0
1 1.21 2.91 2 0 3
1 1.21 3 4.08 3 11
1 1.21 3.27 3.75 2 31
1 1.21 3.27 4.42 14 33
1 1.21 3.36 3.83 7 28
1 1.21 3.55 4.5 10 70
1 1.21 3.88 4.17 27 NA
1 1.21 3.91 2.83 6 32
1 1.21 3.91 4.08 11 26
1 1.21 4.09 3.08 0 0
1 1.21 4.18 3.5 10 36
1 1.21 4.18 3.92 9 25
1 1.21 4.27 4 10 36
1 1.21 4.36 3.17 0 0
1 1.23 2.36 3.45 3 10
1 1.25 3.91 2.17 NA 0
1 1.29 1.82 3.83 16 53
1 1.29 2.36 2.92 11 58
1 1.29 2.64 4.67 9 44
1 1.29 2.73 4.33 7 NA
1 1.29 3.18 2.25 6 13
1 1.29 3.27 4.75 1 11
1 1.29 3.64 4.75 2 3
1 1.29 3.73 4.09 6 58
1 1.29 3.91 2.83 28 NA
1 1.29 4 3.67 0 0
1 1.36 2.36 5 1 6
1 1.36 2.82 3.75 6 22
1 1.36 3 3.75 7 NA
1 1.36 3.18 3.58 0 0
1 1.36 3.55 4 13 20
1 1.36 3.73 4.08 15 58
1 1.36 4 2 0 0
1 1.36 4 4.5 0 0
1 1.36 4.09 1.5 0 0
1 1.36 4.36 2.17 15 28
1 1.43 3 5 10 NA
1 1.43 3.91 2.92 8 23
1 1.43 4.18 2.83 0 7
1 1.43 4.55 4.17 5 30
1 1.5 2.91 4.25 0 1
1 1.5 3.27 2.42 18 46
1 1.5 3.45 4.08 6 28
1 1.5 3.55 4 4 0
1 1.5 3.55 4.08 12 68
1 1.5 3.64 4.25 0 0
1 1.5 3.91 3.92 11 16
1 1.5 4.18 3.83 9 25
1 1.5 4.18 4 3 18
1 1.5 4.27 3.25 0 0
1 1.5 4.45 2.08 2 16
1 1.54 3.45 4.42 17 53
1 1.57 2.64 3.83 11 28
1 1.57 3.18 1.5 0 1
1 1.57 3.64 4.25 12 50
1 1.57 3.82 4.25 15 58
1 1.57 4.18 4.67 12 30
1 1.57 4.27 4.25 3 26
1 1.57 4.64 3.25 7 30
1 1.57 4.91 3.75 0 7
1 1.64 2.18 4.42 0 0
1 1.64 3.09 4.75 17 48
1 1.64 3.36 4.67 10 20
1 1.64 3.91 4.08 8 42
1 1.64 4 3.75 13 NA
1 1.64 4.27 3.08 0 0
1 1.71 2.55 4.67 18 73
1 1.71 2.82 2.75 15 34
1 1.71 2.91 3.67 1 14
1 1.71 3 3.67 12 38
1 1.71 3.09 3.42 11 30
1 1.77 3.91 2.5 0 0
1 1.79 2.18 4.33 12 NA
1 1.79 3 3.5 6 37
1 1.79 3.36 4.58 20 73
1 1.79 3.45 4.33 14 53
1 1.79 3.64 2.75 1 13
